,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,family_size,ischild,male,Second,Third
599,1,1,male,49.0,1,0,56.9292,C,First,man,True,A,Cherbourg,yes,False,2,0,1,0,0
362,0,3,female,45.0,0,1,14.4542,C,Third,woman,False,,Cherbourg,no,False,2,0,0,0,1
520,1,1,female,30.0,0,0,93.5,S,First,woman,False,B,Southampton,yes,True,1,0,0,0,0
157,0,3,male,30.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
807,0,3,female,18.0,0,0,7.775,S,Third,woman,False,,Southampton,no,True,1,0,0,0,1
536,0,1,male,45.0,0,0,26.55,S,First,man,True,B,Southampton,no,True,1,0,1,0,0
531,0,3,male,33.17312348668281,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,1,0,1,0,1
227,0,3,male,20.5,0,0,7.25,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
866,1,2,female,27.0,1,0,13.8583,C,Second,woman,False,,Cherbourg,yes,False,2,0,0,1,0
669,1,1,female,32.0,1,0,52.0,S,First,woman,False,C,Southampton,yes,False,2,0,0,0,0
888,0,3,female,32.0,1,2,23.45,S,Third,woman,False,,Southampton,no,False,4,0,0,0,1
593,0,3,female,32.0,0,2,7.75,Q,Third,woman,False,,Queenstown,no,False,3,0,0,0,1
401,0,3,male,26.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
189,0,3,male,36.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
80,0,3,male,22.0,0,0,9.0,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
707,1,1,male,42.0,0,0,26.2875,S,First,man,True,E,Southampton,yes,True,1,0,1,0,0
128,1,3,female,32.0,1,1,22.3583,C,Third,woman,False,F,Cherbourg,yes,False,3,0,0,0,1
275,1,1,female,63.0,1,0,77.9583,S,First,woman,False,D,Southampton,yes,False,2,0,0,0,0
420,0,3,male,33.17312348668281,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True,1,0,1,0,1
587,1,1,male,60.0,1,1,79.2,C,First,man,True,B,Cherbourg,yes,False,3,0,1,0,0
883,0,2,male,28.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,1,0,1,1,0
677,1,3,female,18.0,0,0,9.8417,S,Third,woman,False,,Southampton,yes,True,1,0,0,0,1
568,0,3,male,33.17312348668281,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,1,0,1,0,1
260,0,3,male,33.17312348668281,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,1,0,1,0,1
731,0,3,male,11.0,0,0,18.7875,C,Third,child,False,,Cherbourg,no,True,1,1,1,0,1
556,1,1,female,48.0,1,0,39.6,C,First,woman,False,A,Cherbourg,yes,False,2,0,0,0,0
560,0,3,male,33.17312348668281,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,1,0,1,0,1
430,1,1,male,28.0,0,0,26.55,S,First,man,True,C,Southampton,yes,True,1,0,1,0,0
819,0,3,male,10.0,3,2,27.9,S,Third,child,False,,Southampton,no,False,6,1,1,0,1
300,1,3,female,32.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,1,0,0,0,1
485,0,3,female,32.0,3,1,25.4667,S,Third,woman,False,,Southampton,no,False,5,0,0,0,1
406,0,3,male,51.0,0,0,7.75,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
858,1,3,female,24.0,0,3,19.2583,C,Third,woman,False,,Cherbourg,yes,False,4,0,0,0,1
245,0,1,male,44.0,2,0,90.0,Q,First,man,True,C,Queenstown,no,False,3,0,1,0,0
387,1,2,female,36.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True,1,0,0,1,0
299,1,1,female,50.0,0,1,247.5208,C,First,woman,False,B,Cherbourg,yes,False,2,0,0,0,0
799,0,3,female,30.0,1,1,24.15,S,Third,woman,False,,Southampton,no,False,3,0,0,0,1
761,0,3,male,41.0,0,0,7.125,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
31,1,1,female,32.0,1,0,146.5208,C,First,woman,False,B,Cherbourg,yes,False,2,0,0,0,0
694,0,1,male,60.0,0,0,26.55,S,First,man,True,,Southampton,no,True,1,0,1,0,0
153,0,3,male,40.5,0,2,14.5,S,Third,man,True,,Southampton,no,False,3,0,1,0,1
2,1,3,female,26.0,0,0,7.925,S,Third,woman,False,,Southampton,yes,True,1,0,0,0,1
728,0,2,male,25.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,2,0,1,1,0
795,0,2,male,39.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,1,0,1,1,0
738,0,3,male,33.17312348668281,0,0,7.8958,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
818,0,3,male,43.0,0,0,6.45,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
236,0,2,male,44.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,2,0,1,1,0
604,1,1,male,35.0,0,0,26.55,C,First,man,True,,Cherbourg,yes,True,1,0,1,0,0
114,0,3,female,17.0,0,0,14.4583,C,Third,woman,False,,Cherbourg,no,True,1,0,0,0,1
341,1,1,female,24.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False,6,0,0,0,0
614,0,3,male,35.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
388,0,3,male,33.17312348668281,0,0,7.7292,Q,Third,man,True,,Queenstown,no,True,1,0,1,0,1
823,1,3,female,27.0,0,1,12.475,S,Third,woman,False,E,Southampton,yes,False,2,0,0,0,1
303,1,2,female,32.0,0,0,12.35,Q,Second,woman,False,E,Queenstown,yes,True,1,0,0,1,0
625,0,1,male,61.0,0,0,32.3208,S,First,man,True,D,Southampton,no,True,1,0,1,0,0
265,0,2,male,36.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,1,0,1,1,0
353,0,3,male,25.0,1,0,17.8,S,Third,man,True,,Southampton,no,False,2,0,1,0,1
285,0,3,male,33.0,0,0,8.6625,C,Third,man,True,,Cherbourg,no,True,1,0,1,0,1
666,0,2,male,25.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,1,0,1,1,0
760,0,3,male,33.17312348668281,0,0,14.5,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
553,1,3,male,22.0,0,0,7.225,C,Third,man,True,,Cherbourg,yes,True,1,0,1,0,1
442,0,3,male,25.0,1,0,7.775,S,Third,man,True,,Southampton,no,False,2,0,1,0,1
288,1,2,male,42.0,0,0,13.0,S,Second,man,True,,Southampton,yes,True,1,0,1,1,0
156,1,3,female,16.0,0,0,7.7333,Q,Third,woman,False,,Queenstown,yes,True,1,0,0,0,1
99,0,2,male,34.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,2,0,1,1,0
563,0,3,male,33.17312348668281,0,0,8.05,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
504,1,1,female,16.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True,1,0,0,0,0
711,0,1,male,33.17312348668281,0,0,26.55,S,First,man,True,C,Southampton,no,True,1,0,1,0,0
705,0,2,male,39.0,0,0,26.0,S,Second,man,True,,Southampton,no,True,1,0,1,1,0
664,1,3,male,20.0,1,0,7.925,S,Third,man,True,,Southampton,yes,False,2,0,1,0,1
